#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 80.000000, 670.000000, 68.324312, 665.519649, 39.378322, 0.108140, 493, 462, 260.0, 56.0, 317.0, 633.0
1, 80.000000, 670.000000, 71.957313, 660.215701, 45.954972, 0.102397, 493, 462, 256.0, 56.0, 320.0, 632.0
2, 80.000000, 670.000000, 74.976681, 661.165796, 35.342636, 0.042771, 492, 464, 254.0, 56.0, 320.0, 630.0
3, 80.000000, 670.000000, 70.659395, 661.309515, 39.153993, 0.078597, 493, 463, 255.0, 57.0, 317.0, 629.0
4, 80.000000, 670.000000, 71.381477, 662.630441, 38.580831, 0.107383, 492, 461, 260.0, 56.0, 318.0, 634.0
5, 80.000000, 660.000000, 76.466419, 660.816970, 28.589605, 0.034002, 493, 462, 255.0, 56.0, 318.0, 629.0
6, 80.000000, 670.000000, 69.674556, 661.734671, 44.432803, 0.084711, 493, 462, 255.0, 56.0, 318.0, 629.0
7, 80.000000, 670.000000, 74.124847, 660.099967, 44.183578, 0.081101, 493, 461, 255.0, 56.0, 321.0, 632.0
8, 80.000000, 670.000000, 69.715452, 662.247239, 41.828083, 0.135720, 492, 462, 259.0, 56.0, 318.0, 633.0
9, 80.000000, 670.000000, 70.771037, 661.394528, 39.719087, 0.070080, 492, 465, 256.0, 56.0, 319.0, 631.0
10, 80.000000, 660.000000, 74.066359, 659.980618, 38.945029, 0.086044, 493, 463, 254.0, 57.0, 320.0, 631.0
11, 80.000000, 670.000000, 78.433724, 660.520488, 30.982843, 0.081683, 492, 461, 256.0, 57.0, 318.0, 631.0
12, 80.000000, 660.000000, 75.146713, 660.102972, 36.859140, 0.062552, 493, 462, 260.0, 57.0, 318.0, 635.0
13, 80.000000, 660.000000, 77.301556, 659.628570, 31.189227, 0.052966, 493, 461, 255.0, 56.0, 319.0, 630.0
14, 80.000000, 660.000000, 74.571478, 660.428088, 38.509119, 0.051729, 493, 463, 255.0, 56.0, 318.0, 629.0
15, 80.000000, 660.000000, 73.139857, 660.592885, 36.122107, 0.044215, 492, 462, 255.0, 56.0, 319.0, 630.0
16, 80.000000, 660.000000, 74.983404, 660.635147, 32.008622, 0.044868, 493, 461, 256.0, 56.0, 321.0, 633.0
17, 80.000000, 670.000000, 76.326472, 660.973772, 28.332493, 0.037722, 492, 462, 254.0, 56.0, 321.0, 631.0
18, 80.000000, 660.000000, 74.153026, 659.553215, 36.069450, 0.034948, 492, 462, 255.0, 55.0, 318.0, 628.0
19, 80.000000, 670.000000, 77.103654, 660.852563, 34.710372, 0.087682, 492, 462, 255.0, 56.0, 319.0, 630.0
20, 80.000000, 660.000000, 76.024566, 659.984743, 33.770045, 0.074251, 493, 463, 255.0, 57.0, 324.0, 636.0
21, 80.000000, 660.000000, 74.736002, 661.351801, 29.688837, 0.065472, 493, 462, 255.0, 56.0, 321.0, 632.0
22, 80.000000, 670.000000, 69.623279, 661.825305, 40.603752, 0.102167, 492, 461, 255.0, 55.0, 315.0, 625.0
23, 80.000000, 670.000000, 71.876149, 660.510561, 40.022011, 0.066996, 493, 462, 255.0, 56.0, 320.0, 631.0
24, 80.000000, 670.000000, 70.927326, 661.941664, 41.725970, 0.085542, 492, 460, 256.0, 55.0, 318.0, 629.0
25, 80.000000, 660.000000, 74.178244, 659.388258, 38.444704, 0.059835, 493, 462, 255.0, 57.0, 318.0, 630.0
26, 70.000000, 680.000000, 69.737159, 660.984473, 42.693038, 0.193509, 492, 462, 256.0, 55.0, 319.0, 630.0
27, 70.000000, 680.000000, 67.698647, 661.006060, 45.369870, 0.147859, 493, 463, 255.0, 56.0, 318.0, 629.0
28, 80.000000, 660.000000, 71.860783, 660.299360, 38.973256, 0.072530, 492, 461, 255.0, 55.0, 316.0, 626.0
29, 80.000000, 670.000000, 72.411629, 660.534538, 42.210247, 0.074903, 492, 463, 255.0, 55.0, 319.0, 629.0
30, 80.000000, 670.000000, 72.608588, 660.360486, 39.003809, 0.062076, 493, 463, 255.0, 56.0, 318.0, 629.0
31, 70.000000, 680.000000, 69.059607, 662.077639, 42.609087, 0.136327, 493, 462, 255.0, 56.0, 318.0, 629.0
32, 80.000000, 660.000000, 78.427852, 658.709195, 32.728820, 0.056901, 492, 460, 255.0, 56.0, 319.0, 630.0
33, 80.000000, 660.000000, 75.608606, 658.499909, 34.867419, 0.045000, 493, 461, 254.0, 58.0, 316.0, 628.0
34, 80.000000, 670.000000, 71.678554, 660.208127, 43.883874, 0.068785, 493, 462, 255.0, 56.0, 321.0, 632.0
35, 80.000000, 670.000000, 71.745680, 662.916953, 38.248599, 0.040594, 493, 461, 254.0, 57.0, 318.0, 629.0
36, 70.000000, 680.000000, 67.215419, 658.863948, 48.252689, 0.172136, 493, 462, 255.0, 57.0, 319.0, 631.0
37, 70.000000, 660.000000, 72.758099, 659.485425, 40.301185, 0.037191, 493, 461, 256.0, 57.0, 317.0, 630.0
38, 70.000000, 660.000000, 70.355082, 659.125332, 46.868228, 0.060562, 493, 462, 255.0, 56.0, 322.0, 633.0
39, 70.000000, 670.000000, 72.652186, 660.192016, 35.126967, 0.065909, 492, 462, 255.0, 57.0, 317.0, 629.0
40, 70.000000, 670.000000, 68.106868, 662.030565, 42.421212, 0.073306, 493, 462, 255.0, 57.0, 316.0, 628.0
41, 80.000000, 670.000000, 70.743288, 662.734290, 37.961500, 0.071302, 493, 461, 255.0, 57.0, 316.0, 628.0
42, 80.000000, 670.000000, 69.653195, 663.566061, 34.738001, 0.101682, 492, 463, 256.0, 56.0, 317.0, 629.0
43, 80.000000, 670.000000, 72.228288, 660.739911, 43.716811, 0.071750, 492, 463, 255.0, 55.0, 319.0, 629.0
44, 80.000000, 670.000000, 70.808207, 661.770815, 40.078418, 0.075276, 493, 460, 255.0, 56.0, 315.0, 626.0
45, 80.000000, 670.000000, 71.441806, 661.220393, 37.747259, 0.040614, 493, 462, 255.0, 57.0, 319.0, 631.0
46, 80.000000, 670.000000, 70.644785, 660.563809, 43.562759, 0.145026, 492, 464, 256.0, 56.0, 320.0, 632.0
47, 80.000000, 670.000000, 77.435355, 659.253153, 31.854119, 0.073654, 493, 462, 256.0, 57.0, 318.0, 631.0
48, 80.000000, 670.000000, 71.940311, 661.155894, 41.389673, 0.052369, 493, 462, 256.0, 57.0, 320.0, 633.0
49, 80.000000, 670.000000, 77.124308, 658.630957, 30.493538, 0.020892, 493, 463, 255.0, 57.0, 321.0, 633.0
