#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 80.000000, 670.000000, 68.322007, 665.517813, 39.393099, 0.108141, 483, 416, 256.0, 51.0, 286.0, 593.0
1, 80.000000, 670.000000, 71.954468, 660.216099, 45.970762, 0.102397, 483, 417, 255.0, 50.0, 290.0, 595.0
2, 80.000000, 670.000000, 74.978698, 661.171580, 35.362569, 0.042772, 483, 418, 254.0, 51.0, 290.0, 595.0
3, 80.000000, 670.000000, 70.657670, 661.316609, 39.149286, 0.078597, 483, 419, 255.0, 51.0, 289.0, 595.0
4, 80.000000, 670.000000, 71.397067, 662.621261, 38.531017, 0.107384, 484, 417, 254.0, 51.0, 288.0, 593.0
5, 80.000000, 660.000000, 76.445012, 660.820757, 28.636487, 0.034002, 483, 418, 255.0, 50.0, 290.0, 595.0
6, 80.000000, 670.000000, 69.686947, 661.726840, 44.397706, 0.084712, 483, 418, 254.0, 51.0, 310.0, 615.0
7, 80.000000, 670.000000, 74.130821, 660.114191, 44.186339, 0.081101, 483, 417, 255.0, 51.0, 292.0, 598.0
8, 80.000000, 670.000000, 69.703778, 662.261168, 41.815582, 0.135720, 484, 417, 255.0, 51.0, 288.0, 594.0
9, 80.000000, 670.000000, 70.768651, 661.388567, 39.728517, 0.070080, 484, 416, 255.0, 52.0, 287.0, 594.0
10, 80.000000, 660.000000, 74.050378, 659.978503, 38.943575, 0.086045, 483, 418, 254.0, 51.0, 290.0, 595.0
11, 80.000000, 670.000000, 78.445889, 660.527604, 30.985411, 0.081683, 484, 418, 255.0, 52.0, 290.0, 597.0
12, 80.000000, 660.000000, 75.154992, 660.097647, 36.845148, 0.062552, 484, 416, 255.0, 52.0, 289.0, 596.0
13, 80.000000, 660.000000, 77.314750, 659.627097, 31.197173, 0.052966, 483, 418, 254.0, 51.0, 293.0, 598.0
14, 80.000000, 660.000000, 74.568013, 660.430056, 38.523564, 0.051729, 484, 415, 255.0, 51.0, 288.0, 594.0
15, 80.000000, 660.000000, 73.138353, 660.591000, 36.113950, 0.044215, 484, 416, 266.0, 52.0, 288.0, 606.0
16, 80.000000, 660.000000, 74.984583, 660.623699, 32.016667, 0.044868, 483, 417, 255.0, 50.0, 289.0, 594.0
17, 80.000000, 670.000000, 76.366970, 660.924066, 28.285146, 0.037729, 484, 415, 254.0, 51.0, 290.0, 595.0
18, 80.000000, 660.000000, 74.156160, 659.551288, 36.068381, 0.034948, 483, 419, 255.0, 50.0, 290.0, 595.0
19, 80.000000, 670.000000, 77.110814, 660.853432, 34.656459, 0.087683, 483, 416, 255.0, 50.0, 289.0, 594.0
20, 80.000000, 660.000000, 76.020265, 659.982507, 33.781472, 0.074252, 484, 416, 254.0, 51.0, 292.0, 597.0
21, 80.000000, 660.000000, 74.752120, 661.338056, 29.658570, 0.065475, 483, 415, 260.0, 51.0, 290.0, 601.0
22, 80.000000, 670.000000, 69.624936, 661.828224, 40.579611, 0.102167, 483, 419, 255.0, 50.0, 288.0, 593.0
23, 80.000000, 670.000000, 71.876721, 660.502887, 40.023183, 0.066996, 483, 419, 254.0, 50.0, 291.0, 595.0
24, 80.000000, 670.000000, 70.930238, 661.939546, 41.743183, 0.085543, 483, 417, 255.0, 51.0, 301.0, 607.0
25, 80.000000, 660.000000, 74.162693, 659.391999, 38.478401, 0.059835, 483, 418, 255.0, 51.0, 290.0, 596.0
26, 70.000000, 680.000000, 69.744119, 660.991387, 42.695579, 0.193510, 483, 418, 256.0, 50.0, 289.0, 595.0
27, 70.000000, 680.000000, 67.714972, 661.010761, 45.373834, 0.147859, 483, 418, 254.0, 51.0, 285.0, 590.0
28, 80.000000, 660.000000, 71.870537, 660.295636, 38.988494, 0.072530, 484, 419, 259.0, 51.0, 300.0, 610.0
29, 80.000000, 670.000000, 72.414262, 660.530394, 42.213781, 0.074903, 484, 417, 255.0, 51.0, 290.0, 596.0
30, 80.000000, 670.000000, 72.608990, 660.355277, 38.978784, 0.062076, 483, 417, 255.0, 50.0, 289.0, 594.0
31, 70.000000, 680.000000, 69.046518, 662.066609, 42.619506, 0.136328, 483, 419, 255.0, 51.0, 290.0, 596.0
32, 80.000000, 660.000000, 78.413277, 658.709981, 32.719149, 0.056902, 483, 418, 255.0, 51.0, 291.0, 597.0
33, 80.000000, 660.000000, 75.616421, 658.496560, 34.881623, 0.045000, 483, 418, 254.0, 52.0, 289.0, 595.0
34, 80.000000, 670.000000, 71.701140, 660.182571, 43.829697, 0.068785, 483, 419, 255.0, 50.0, 292.0, 597.0
