#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 80.000000, 670.000000, 68.324257, 665.491370, 39.507898, 0.108154, 458, 293, 255.0, 36.0, 205.0, 496.0
1, 80.000000, 670.000000, 72.001116, 660.176177, 45.851215, 0.102401, 458, 291, 256.0, 36.0, 206.0, 498.0
2, 80.000000, 670.000000, 75.025475, 661.139718, 35.476310, 0.042793, 459, 294, 256.0, 37.0, 209.0, 502.0
3, 80.000000, 670.000000, 70.663398, 661.362181, 39.073241, 0.078607, 458, 293, 254.0, 37.0, 206.0, 497.0
4, 80.000000, 670.000000, 71.290210, 662.645688, 38.651543, 0.107396, 459, 294, 254.0, 37.0, 208.0, 499.0
5, 80.000000, 660.000000, 76.347451, 660.779027, 28.776183, 0.034047, 459, 291, 255.0, 37.0, 207.0, 499.0
6, 80.000000, 670.000000, 69.669539, 661.678333, 44.374753, 0.084724, 459, 291, 254.0, 37.0, 211.0, 502.0
7, 80.000000, 670.000000, 74.051195, 660.085883, 44.257415, 0.081117, 458, 294, 255.0, 36.0, 209.0, 500.0
8, 80.000000, 670.000000, 69.672513, 662.328132, 41.751660, 0.135737, 458, 292, 255.0, 36.0, 206.0, 497.0
9, 80.000000, 670.000000, 70.659703, 661.462031, 39.832090, 0.070098, 458, 293, 255.0, 37.0, 207.0, 499.0
10, 80.000000, 660.000000, 74.046232, 660.052622, 38.965968, 0.086056, 459, 293, 254.0, 37.0, 207.0, 498.0
11, 80.000000, 670.000000, 78.298355, 660.556175, 30.877465, 0.081729, 459, 293, 255.0, 37.0, 208.0, 500.0
12, 80.000000, 660.000000, 75.097768, 660.097639, 36.851185, 0.062558, 458, 291, 261.0, 37.0, 206.0, 504.0
13, 80.000000, 660.000000, 77.273256, 659.625831, 31.012850, 0.052985, 458, 293, 254.0, 36.0, 208.0, 498.0
14, 80.000000, 660.000000, 74.580619, 660.455554, 38.513001, 0.051732, 459, 294, 255.0, 37.0, 223.0, 515.0
15, 80.000000, 660.000000, 73.157235, 660.601868, 36.233950, 0.044223, 458, 292, 254.0, 37.0, 205.0, 496.0
16, 80.000000, 660.000000, 74.998791, 660.676746, 32.070481, 0.044882, 459, 293, 415.0, 69.0, 315.0, 799.0
17, 80.000000, 670.000000, 76.096324, 661.092246, 28.406933, 0.037826, 459, 294, 254.0, 38.0, 209.0, 501.0
18, 80.000000, 660.000000, 74.190055, 659.524528, 36.086911, 0.034952, 459, 292, 254.0, 36.0, 205.0, 495.0
19, 80.000000, 670.000000, 77.147031, 660.861378, 34.752520, 0.087693, 459, 292, 254.0, 36.0, 206.0, 496.0
20, 80.000000, 660.000000, 76.119754, 659.969853, 33.607837, 0.074269, 459, 293, 255.0, 37.0, 207.0, 499.0
21, 80.000000, 660.000000, 74.792415, 661.288978, 29.671645, 0.065492, 459, 293, 254.0, 37.0, 210.0, 501.0
22, 80.000000, 670.000000, 69.524066, 661.830275, 40.783453, 0.102185, 459, 292, 273.0, 38.0, 205.0, 516.0
23, 80.000000, 670.000000, 71.886570, 660.436405, 40.026151, 0.067011, 458, 292, 265.0, 36.0, 208.0, 509.0
24, 80.000000, 670.000000, 70.877071, 661.969279, 41.644601, 0.085555, 458, 294, 254.0, 36.0, 209.0, 499.0
25, 80.000000, 660.000000, 74.157905, 659.364699, 38.595307, 0.059846, 458, 293, 254.0, 37.0, 208.0, 499.0
26, 70.000000, 680.000000, 69.675439, 660.962533, 42.660686, 0.193534, 458, 293, 255.0, 36.0, 207.0, 498.0
27, 70.000000, 680.000000, 67.786809, 661.016556, 45.334721, 0.147877, 458, 291, 255.0, 37.0, 205.0, 497.0
28, 80.000000, 660.000000, 71.848638, 660.361504, 38.920659, 0.072543, 459, 292, 254.0, 36.0, 206.0, 496.0
