#idx, x0, x1, x2, y, f_neval, total_time (us)
327, 71.314760, 664.078833, 38.197341, 0.073044, 6429, 4927.0
328, 73.740826, 659.853669, 40.018946, 0.052463, 6369, 4661.0
329, 67.452163, 661.341639, 44.065585, 0.053227, 6433, 4726.0
330, 70.564470, 661.949748, 40.724957, 0.048307, 6421, 4845.0
331, 69.690411, 661.131447, 42.316985, 0.134433, 6400, 4580.0
332, 70.874367, 660.831379, 40.083143, 0.062299, 6408, 4734.0
333, 68.656270, 662.284021, 41.161848, 0.098381, 6430, 4736.0
334, 71.194365, 660.030841, 42.883503, 0.076987, 6406, 6858.0
335, 70.109480, 659.531893, 45.682164, 0.112327, 6409, 4636.0
336, 66.281314, 662.368537, 43.939632, 0.134689, 6426, 4683.0
337, 70.879409, 662.215324, 38.529774, 0.060768, 6430, 4788.0
338, 69.728988, 660.684755, 42.447935, 0.059701, 6426, 4673.0
339, 73.195105, 661.482410, 39.283507, 0.058799, 6405, 4622.0
340, 69.563741, 661.477230, 43.418346, 0.067016, 6431, 4687.0
341, 70.655816, 661.524268, 35.746760, 0.043725, 6430, 4655.0
342, 70.804552, 660.426972, 42.476969, 0.074325, 6396, 4639.0
343, 71.024268, 662.359805, 40.686467, 0.039295, 6429, 4584.0
344, 70.507415, 661.415124, 42.321346, 0.152636, 6402, 4707.0
345, 73.958016, 661.905838, 30.266658, 0.070021, 6420, 4572.0
346, 69.139194, 659.214747, 47.809084, 0.160397, 6432, 4600.0
347, 72.446553, 660.088621, 38.829873, 0.062133, 6379, 4667.0
348, 70.115029, 661.013964, 44.977821, 0.135865, 6412, 4576.0
349, 68.016377, 662.537616, 38.931638, 0.058748, 6426, 4587.0
350, 77.117627, 660.484000, 29.934524, 0.087901, 6355, 4587.0
351, 67.721174, 660.244845, 46.568725, 0.222729, 6429, 4605.0
352, 70.173439, 663.053240, 38.771036, 0.069912, 6429, 4568.0
353, 70.841528, 661.149274, 40.555317, 0.064694, 6425, 4780.0
354, 73.305708, 661.875393, 37.071310, 0.068534, 6401, 4569.0
355, 71.028967, 662.255786, 38.951044, 0.055158, 6397, 5764.0
356, 72.227171, 662.101222, 33.775595, 0.057174, 6430, 5769.0
357, 69.567746, 662.767312, 40.275243, 0.131921, 6435, 4619.0
358, 67.020778, 661.053081, 43.291055, 0.100239, 6419, 4873.0
359, 74.559276, 660.190132, 35.959985, 0.064376, 6394, 5005.0
360, 70.949450, 662.670962, 41.242300, 0.096823, 6428, 4592.0
361, 70.886164, 660.189972, 39.284659, 0.027474, 6403, 4582.0
362, 71.986664, 663.544854, 31.168061, 0.042187, 6435, 4688.0
363, 72.767678, 662.211935, 37.330890, 0.015715, 6404, 4676.0
364, 73.935687, 660.592457, 37.489990, 0.042423, 6402, 4587.0
365, 73.122370, 660.344193, 36.356505, 0.023242, 6395, 4651.0
366, 69.479864, 661.245444, 41.330238, 0.062202, 6429, 4587.0
367, 72.521003, 662.597429, 28.508315, 0.025142, 6431, 4588.0
368, 74.480691, 659.943923, 37.211657, 0.038774, 6382, 4712.0
369, 72.723661, 660.939635, 37.174098, 0.058163, 6402, 4692.0
370, 73.263220, 661.114197, 43.404703, 0.064023, 6399, 6328.0
371, 74.872362, 661.716023, 37.918873, 0.079435, 6392, 4729.0
372, 73.198419, 661.869656, 32.859836, 0.055072, 6431, 4613.0
373, 73.134649, 659.978530, 39.401515, 0.064134, 6389, 4843.0
374, 69.112107, 662.755371, 43.533165, 0.194529, 6427, 4593.0
375, 72.763758, 660.734691, 39.006924, 0.055082, 6403, 4732.0
376, 72.033158, 660.695928, 39.328743, 0.042507, 6400, 4886.0
377, 70.940153, 662.754688, 38.707568, 0.103547, 6433, 6840.0
