#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 80.000000, 670.000000, 68.328645, 665.505124, 39.402012, 0.108142, 473, 367, 435.0, 94.0, 360.0, 889.0
1, 80.000000, 670.000000, 71.937906, 660.253131, 45.953448, 0.102400, 473, 367, 255.0, 45.0, 257.0, 557.0
2, 80.000000, 670.000000, 75.005611, 661.152591, 35.215561, 0.042777, 473, 368, 260.0, 45.0, 258.0, 563.0
3, 80.000000, 670.000000, 70.652467, 661.285766, 39.185194, 0.078598, 474, 369, 256.0, 47.0, 256.0, 559.0
4, 80.000000, 670.000000, 71.391306, 662.642167, 38.486749, 0.107386, 474, 368, 256.0, 46.0, 257.0, 559.0
5, 80.000000, 660.000000, 76.462510, 660.832171, 28.653599, 0.034005, 473, 368, 254.0, 45.0, 259.0, 558.0
6, 80.000000, 670.000000, 69.678642, 661.760177, 44.453018, 0.084713, 473, 369, 254.0, 45.0, 257.0, 556.0
7, 80.000000, 670.000000, 74.108984, 660.089777, 44.179813, 0.081103, 474, 365, 255.0, 46.0, 257.0, 558.0
8, 80.000000, 670.000000, 69.712575, 662.228556, 41.862133, 0.135722, 473, 367, 256.0, 45.0, 255.0, 556.0
9, 80.000000, 670.000000, 70.739466, 661.405930, 39.733369, 0.070081, 474, 366, 419.0, 85.0, 477.0, 981.0
10, 80.000000, 660.000000, 74.094143, 659.965310, 38.882409, 0.086046, 473, 368, 255.0, 46.0, 257.0, 558.0
11, 80.000000, 670.000000, 78.459137, 660.533087, 30.995472, 0.081686, 474, 368, 254.0, 46.0, 256.0, 556.0
12, 80.000000, 660.000000, 75.144270, 660.106408, 36.888829, 0.062553, 474, 368, 255.0, 46.0, 257.0, 558.0
13, 80.000000, 660.000000, 77.297200, 659.646237, 31.185002, 0.052967, 473, 370, 254.0, 45.0, 257.0, 556.0
14, 80.000000, 660.000000, 74.559778, 660.435211, 38.484975, 0.051729, 474, 367, 256.0, 47.0, 256.0, 559.0
15, 80.000000, 660.000000, 73.125746, 660.585863, 36.137302, 0.044216, 474, 367, 256.0, 46.0, 256.0, 558.0
16, 80.000000, 660.000000, 74.987628, 660.610211, 32.016679, 0.044870, 473, 369, 306.0, 46.0, 269.0, 621.0
17, 80.000000, 670.000000, 76.228869, 661.022408, 28.355908, 0.037742, 474, 366, 255.0, 46.0, 258.0, 559.0
18, 80.000000, 660.000000, 74.138358, 659.562232, 36.057746, 0.034948, 473, 365, 255.0, 45.0, 263.0, 563.0
19, 80.000000, 670.000000, 77.120080, 660.849749, 34.721154, 0.087683, 474, 367, 255.0, 45.0, 263.0, 563.0
20, 80.000000, 660.000000, 76.050307, 659.961589, 33.779061, 0.074253, 474, 365, 394.0, 82.0, 405.0, 881.0
21, 80.000000, 660.000000, 74.678246, 661.430561, 29.732449, 0.065491, 473, 366, 256.0, 46.0, 258.0, 560.0
22, 80.000000, 670.000000, 69.608403, 661.833066, 40.570651, 0.102168, 473, 367, 254.0, 45.0, 254.0, 553.0
23, 80.000000, 670.000000, 71.879257, 660.486493, 40.010889, 0.066998, 473, 366, 256.0, 45.0, 257.0, 558.0
24, 80.000000, 670.000000, 70.908340, 661.966359, 41.698589, 0.085544, 473, 369, 255.0, 45.0, 259.0, 559.0
25, 80.000000, 660.000000, 74.195846, 659.381390, 38.413766, 0.059836, 473, 366, 255.0, 45.0, 309.0, 609.0
26, 70.000000, 680.000000, 69.750619, 661.006224, 42.673987, 0.193511, 473, 367, 256.0, 45.0, 256.0, 557.0
27, 70.000000, 680.000000, 67.699843, 660.972159, 45.367248, 0.147862, 473, 368, 255.0, 45.0, 256.0, 556.0
28, 80.000000, 660.000000, 71.860970, 660.277046, 39.000406, 0.072532, 474, 368, 255.0, 46.0, 257.0, 558.0
29, 80.000000, 670.000000, 72.422753, 660.541768, 42.218303, 0.074904, 473, 367, 255.0, 45.0, 278.0, 578.0
30, 80.000000, 670.000000, 72.599434, 660.357558, 38.967833, 0.062077, 473, 368, 256.0, 45.0, 266.0, 567.0
31, 70.000000, 680.000000, 69.037766, 662.044243, 42.625662, 0.136331, 474, 367, 265.0, 47.0, 255.0, 567.0
32, 80.000000, 660.000000, 78.401480, 658.711576, 32.706695, 0.056903, 473, 368, 320.0, 88.0, 266.0, 674.0
33, 80.000000, 660.000000, 75.587888, 658.498476, 34.808085, 0.045002, 473, 366, 256.0, 46.0, 256.0, 558.0
34, 80.000000, 670.000000, 71.661771, 660.215146, 43.960778, 0.068788, 473, 366, 255.0, 45.0, 258.0, 558.0
35, 80.000000, 670.000000, 71.749837, 662.905915, 38.262880, 0.040595, 474, 366, 255.0, 46.0, 255.0, 556.0
36, 70.000000, 680.000000, 67.176611, 658.902907, 48.190918, 0.172144, 473, 368, 255.0, 45.0, 257.0, 557.0
37, 70.000000, 660.000000, 72.750411, 659.501748, 40.309086, 0.037192, 473, 366, 256.0, 46.0, 255.0, 557.0
38, 70.000000, 660.000000, 70.384183, 659.102548, 46.859869, 0.060563, 474, 366, 255.0, 45.0, 259.0, 559.0
39, 70.000000, 670.000000, 72.671641, 660.180839, 35.092147, 0.065910, 474, 368, 254.0, 62.0, 264.0, 580.0
