#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 80.000000, 670.000000, 68.138823, 665.565004, 39.619127, 0.108191, 451, 256, 256.0, 32.0, 182.0, 470.0
1, 80.000000, 670.000000, 72.207558, 659.989671, 45.765042, 0.102513, 452, 257, 255.0, 33.0, 258.0, 546.0
2, 80.000000, 670.000000, 74.823466, 661.314474, 35.343692, 0.042847, 451, 259, 255.0, 32.0, 186.0, 473.0
3, 80.000000, 670.000000, 70.613348, 661.275769, 38.946509, 0.078654, 452, 255, 255.0, 33.0, 181.0, 469.0
4, 80.000000, 670.000000, 71.538530, 662.619165, 38.545714, 0.107439, 451, 257, 255.0, 32.0, 183.0, 470.0
5, 80.000000, 660.000000, 76.249084, 660.902745, 28.754158, 0.034079, 451, 258, 255.0, 33.0, 185.0, 473.0
6, 80.000000, 670.000000, 69.710703, 661.860481, 44.255414, 0.084752, 451, 259, 397.0, 51.0, 286.0, 734.0
7, 80.000000, 670.000000, 73.992960, 660.095964, 44.281502, 0.081144, 451, 258, 255.0, 32.0, 186.0, 473.0
8, 80.000000, 670.000000, 69.832153, 662.175386, 42.028459, 0.135825, 452, 256, 256.0, 33.0, 182.0, 471.0
9, 80.000000, 670.000000, 70.582865, 661.513430, 39.861834, 0.070136, 451, 255, 255.0, 33.0, 182.0, 470.0
10, 80.000000, 660.000000, 74.141751, 660.052698, 38.778168, 0.086094, 451, 258, 258.0, 33.0, 183.0, 474.0
11, 80.000000, 670.000000, 78.624292, 660.530436, 30.903653, 0.081756, 451, 256, 254.0, 33.0, 184.0, 471.0
12, 80.000000, 660.000000, 75.185252, 660.125424, 36.973133, 0.062573, 452, 259, 255.0, 33.0, 184.0, 472.0
13, 80.000000, 660.000000, 77.219481, 659.603347, 31.375102, 0.052997, 452, 256, 255.0, 33.0, 184.0, 472.0
14, 80.000000, 660.000000, 74.507353, 660.420370, 38.494723, 0.051741, 452, 259, 261.0, 33.0, 185.0, 479.0
15, 80.000000, 660.000000, 73.233745, 660.648327, 36.147127, 0.044259, 452, 259, 255.0, 33.0, 184.0, 472.0
16, 80.000000, 660.000000, 74.959126, 660.547954, 31.986436, 0.044908, 451, 258, 256.0, 33.0, 185.0, 474.0
17, 80.000000, 670.000000, 75.965801, 661.016905, 28.670504, 0.037915, 451, 255, 254.0, 33.0, 186.0, 473.0
18, 80.000000, 660.000000, 74.127089, 659.600808, 36.217006, 0.034963, 451, 259, 256.0, 33.0, 185.0, 474.0
19, 80.000000, 670.000000, 76.915993, 660.873277, 34.680317, 0.087761, 451, 259, 268.0, 32.0, 187.0, 487.0
20, 80.000000, 660.000000, 75.934469, 659.931351, 34.088728, 0.074323, 452, 257, 255.0, 33.0, 184.0, 472.0
21, 80.000000, 660.000000, 74.309906, 661.494090, 30.856657, 0.066074, 451, 257, 255.0, 33.0, 186.0, 474.0
22, 80.000000, 670.000000, 69.685322, 661.716865, 40.673522, 0.102200, 451, 256, 255.0, 32.0, 182.0, 469.0
23, 80.000000, 670.000000, 71.780743, 660.655041, 40.096174, 0.067037, 452, 256, 260.0, 32.0, 184.0, 476.0
24, 80.000000, 670.000000, 71.016936, 661.757263, 41.595453, 0.085610, 452, 256, 255.0, 32.0, 184.0, 471.0
25, 80.000000, 660.000000, 74.277757, 659.389324, 38.395006, 0.059860, 452, 256, 255.0, 34.0, 183.0, 472.0
26, 70.000000, 680.000000, 69.850553, 661.093110, 42.541283, 0.193575, 452, 256, 256.0, 33.0, 184.0, 473.0
27, 70.000000, 680.000000, 67.860568, 661.059739, 45.353756, 0.147955, 452, 258, 256.0, 33.0, 184.0, 473.0
28, 80.000000, 660.000000, 71.922182, 660.191190, 38.935251, 0.072551, 451, 256, 256.0, 32.0, 182.0, 470.0
29, 80.000000, 670.000000, 72.490640, 660.409138, 42.159118, 0.074936, 452, 258, 256.0, 48.0, 185.0, 489.0
30, 80.000000, 670.000000, 72.709543, 660.280743, 39.121065, 0.062122, 451, 258, 266.0, 33.0, 194.0, 493.0
31, 70.000000, 680.000000, 68.979069, 661.842074, 42.693042, 0.136480, 451, 257, 256.0, 33.0, 183.0, 472.0
32, 80.000000, 660.000000, 78.543372, 658.612896, 32.698906, 0.056938, 451, 257, 262.0, 33.0, 185.0, 480.0
