#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 80.000000, 670.000000, 68.329697, 665.557367, 39.304046, 0.108144, 466, 332, 254.0, 41.0, 231.0, 526.0
1, 80.000000, 670.000000, 72.000720, 660.176997, 45.851215, 0.102401, 467, 332, 270.0, 74.0, 284.0, 628.0
2, 80.000000, 670.000000, 75.026160, 661.164915, 35.184230, 0.042781, 467, 334, 265.0, 42.0, 235.0, 542.0
3, 80.000000, 670.000000, 70.645019, 661.272613, 39.221397, 0.078602, 466, 333, 257.0, 42.0, 232.0, 531.0
4, 80.000000, 670.000000, 71.394616, 662.592219, 38.658269, 0.107393, 466, 332, 257.0, 41.0, 234.0, 532.0
5, 80.000000, 660.000000, 76.475318, 660.841210, 28.690324, 0.034013, 467, 332, 265.0, 42.0, 235.0, 542.0
6, 80.000000, 670.000000, 69.682651, 661.712099, 44.389140, 0.084714, 467, 333, 256.0, 41.0, 312.0, 609.0
7, 80.000000, 670.000000, 74.118524, 660.132176, 44.247606, 0.081104, 466, 334, 255.0, 41.0, 245.0, 541.0
8, 80.000000, 670.000000, 69.712861, 662.297701, 41.763946, 0.135725, 466, 333, 255.0, 41.0, 233.0, 529.0
9, 80.000000, 670.000000, 70.797754, 661.365724, 39.769094, 0.070086, 466, 331, 254.0, 41.0, 231.0, 526.0
10, 80.000000, 660.000000, 73.989834, 660.001244, 39.053704, 0.086052, 467, 331, 265.0, 43.0, 251.0, 559.0
11, 80.000000, 670.000000, 78.406192, 660.486179, 31.072808, 0.081695, 467, 331, 331.0, 43.0, 234.0, 608.0
12, 80.000000, 660.000000, 75.118806, 660.139849, 36.861100, 0.062556, 466, 331, 264.0, 42.0, 233.0, 539.0
13, 80.000000, 660.000000, 77.345134, 659.612996, 31.080841, 0.052972, 467, 331, 255.0, 42.0, 246.0, 543.0
14, 80.000000, 660.000000, 74.560080, 660.419151, 38.493828, 0.051730, 467, 332, 255.0, 42.0, 234.0, 531.0
15, 80.000000, 660.000000, 73.138990, 660.593051, 36.069568, 0.044217, 466, 332, 255.0, 42.0, 234.0, 531.0
16, 80.000000, 660.000000, 74.924402, 660.665219, 32.042676, 0.044874, 467, 331, 255.0, 42.0, 268.0, 565.0
17, 80.000000, 670.000000, 76.407453, 660.934955, 28.436252, 0.037737, 467, 333, 255.0, 42.0, 237.0, 534.0
18, 80.000000, 660.000000, 74.166454, 659.541462, 36.083348, 0.034949, 467, 334, 255.0, 42.0, 235.0, 532.0
19, 80.000000, 670.000000, 77.039649, 660.853691, 34.689885, 0.087691, 466, 334, 256.0, 41.0, 237.0, 534.0
20, 80.000000, 660.000000, 76.070669, 659.985952, 33.690677, 0.074255, 466, 332, 393.0, 65.0, 381.0, 839.0
21, 80.000000, 660.000000, 74.793574, 661.288533, 29.671645, 0.065492, 467, 332, 255.0, 42.0, 236.0, 533.0
22, 80.000000, 670.000000, 69.611861, 661.836084, 40.525928, 0.102171, 467, 333, 256.0, 42.0, 232.0, 530.0
23, 80.000000, 670.000000, 71.879420, 660.486518, 40.010889, 0.066998, 467, 335, 264.0, 41.0, 237.0, 542.0
24, 80.000000, 670.000000, 70.907013, 661.990519, 41.782360, 0.085547, 467, 330, 267.0, 42.0, 234.0, 543.0
25, 80.000000, 660.000000, 74.215341, 659.389801, 38.460711, 0.059840, 466, 332, 256.0, 42.0, 242.0, 540.0
26, 70.000000, 680.000000, 69.701248, 660.969476, 42.683895, 0.193518, 466, 333, 255.0, 41.0, 245.0, 541.0
27, 70.000000, 680.000000, 67.760115, 661.001185, 45.310954, 0.147864, 467, 333, 256.0, 42.0, 233.0, 531.0
28, 80.000000, 660.000000, 71.845115, 660.329578, 38.943765, 0.072533, 466, 333, 255.0, 41.0, 234.0, 530.0
29, 80.000000, 670.000000, 72.380470, 660.571626, 42.205822, 0.074906, 467, 332, 256.0, 42.0, 234.0, 532.0
30, 80.000000, 670.000000, 72.591828, 660.350374, 38.960651, 0.062079, 467, 333, 254.0, 41.0, 233.0, 528.0
31, 70.000000, 680.000000, 69.029028, 662.137453, 42.683286, 0.136339, 466, 335, 314.0, 57.0, 236.0, 607.0
32, 80.000000, 660.000000, 78.476990, 658.682106, 32.728157, 0.056907, 466, 333, 256.0, 42.0, 244.0, 542.0
33, 80.000000, 660.000000, 75.615576, 658.511409, 34.957408, 0.045005, 466, 332, 255.0, 42.0, 233.0, 530.0
34, 80.000000, 670.000000, 71.642762, 660.169417, 43.921227, 0.068794, 467, 333, 256.0, 42.0, 236.0, 534.0
35, 80.000000, 670.000000, 71.764311, 662.890320, 38.253153, 0.040596, 467, 334, 254.0, 42.0, 234.0, 530.0
36, 70.000000, 680.000000, 67.331008, 658.824370, 48.135365, 0.172167, 467, 332, 256.0, 42.0, 234.0, 532.0
37, 70.000000, 660.000000, 72.744519, 659.459921, 40.321197, 0.037194, 467, 333, 255.0, 42.0, 233.0, 530.0
38, 70.000000, 660.000000, 70.347657, 659.101237, 46.963529, 0.060567, 466, 332, 255.0, 42.0, 236.0, 533.0
39, 70.000000, 670.000000, 72.642322, 660.226851, 35.185950, 0.065912, 466, 331, 255.0, 42.0, 232.0, 529.0
40, 70.000000, 670.000000, 68.118589, 661.985890, 42.491929, 0.073312, 467, 332, 354.0, 83.0, 494.0, 931.0
41, 80.000000, 670.000000, 70.742067, 662.716700, 37.909003, 0.071305, 466, 333, 416.0, 72.0, 434.0, 922.0
42, 80.000000, 670.000000, 69.662841, 663.533002, 34.775110, 0.101686, 467, 331, 423.0, 63.0, 299.0, 785.0
