#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 80.000000, 670.000000, 68.329697, 665.557367, 39.304046, 0.108144, 464, 318, 255.0, 39.0, 222.0, 516.0
1, 80.000000, 670.000000, 72.001081, 660.176671, 45.851215, 0.102401, 463, 317, 254.0, 39.0, 222.0, 515.0
2, 80.000000, 670.000000, 74.988038, 661.145800, 35.183179, 0.042783, 463, 316, 255.0, 39.0, 223.0, 517.0
3, 80.000000, 670.000000, 70.616925, 661.334441, 39.289931, 0.078605, 464, 318, 255.0, 40.0, 223.0, 518.0
4, 80.000000, 670.000000, 71.290183, 662.645445, 38.651543, 0.107396, 464, 317, 256.0, 39.0, 223.0, 518.0
5, 80.000000, 660.000000, 76.475682, 660.840856, 28.690324, 0.034013, 463, 318, 329.0, 40.0, 315.0, 684.0
6, 80.000000, 670.000000, 69.669441, 661.788127, 44.462800, 0.084717, 463, 317, 283.0, 39.0, 223.0, 545.0
7, 80.000000, 670.000000, 74.113181, 660.081334, 44.132165, 0.081107, 464, 315, 254.0, 39.0, 233.0, 526.0
8, 80.000000, 670.000000, 69.788298, 662.175714, 41.716693, 0.135737, 463, 316, 256.0, 40.0, 241.0, 537.0
9, 80.000000, 670.000000, 70.774638, 661.354940, 39.786489, 0.070086, 464, 318, 255.0, 41.0, 233.0, 529.0
10, 80.000000, 660.000000, 74.088136, 659.929026, 39.027508, 0.086056, 463, 317, 255.0, 40.0, 223.0, 518.0
11, 80.000000, 670.000000, 78.494890, 660.552621, 30.922776, 0.081697, 463, 316, 255.0, 40.0, 223.0, 518.0
12, 80.000000, 660.000000, 75.131166, 660.089590, 36.774914, 0.062557, 464, 318, 255.0, 41.0, 224.0, 520.0
13, 80.000000, 660.000000, 77.287623, 659.661319, 31.241894, 0.052972, 463, 318, 254.0, 39.0, 224.0, 517.0
14, 80.000000, 660.000000, 74.577119, 660.427750, 38.575624, 0.051732, 463, 318, 256.0, 40.0, 289.0, 585.0
15, 80.000000, 660.000000, 73.208072, 660.581067, 36.074675, 0.044222, 464, 318, 256.0, 41.0, 261.0, 558.0
16, 80.000000, 660.000000, 74.990318, 660.576895, 32.022100, 0.044880, 463, 316, 273.0, 40.0, 223.0, 536.0
17, 80.000000, 670.000000, 76.094963, 661.092917, 28.406933, 0.037827, 463, 316, 255.0, 40.0, 226.0, 521.0
18, 80.000000, 660.000000, 74.143185, 659.536862, 36.055710, 0.034949, 463, 316, 255.0, 39.0, 223.0, 517.0
19, 80.000000, 670.000000, 77.146271, 660.861466, 34.752520, 0.087693, 463, 316, 255.0, 39.0, 224.0, 518.0
20, 80.000000, 660.000000, 76.046143, 660.030236, 33.767711, 0.074263, 464, 318, 255.0, 40.0, 224.0, 519.0
21, 80.000000, 660.000000, 74.793168, 661.289159, 29.671645, 0.065492, 463, 318, 254.0, 44.0, 227.0, 525.0
22, 80.000000, 670.000000, 69.611697, 661.835935, 40.525928, 0.102171, 463, 317, 255.0, 39.0, 221.0, 515.0
23, 80.000000, 670.000000, 71.883069, 660.567761, 40.041997, 0.067005, 463, 316, 264.0, 73.0, 282.0, 619.0
24, 80.000000, 670.000000, 70.955320, 661.918954, 41.793674, 0.085552, 464, 317, 322.0, 73.0, 252.0, 647.0
25, 80.000000, 660.000000, 74.215808, 659.389234, 38.460711, 0.059840, 464, 316, 255.0, 40.0, 223.0, 518.0
26, 70.000000, 680.000000, 69.748462, 660.920730, 42.711488, 0.193518, 464, 317, 256.0, 39.0, 224.0, 519.0
27, 70.000000, 680.000000, 67.677230, 661.027485, 45.264601, 0.147874, 463, 316, 255.0, 39.0, 222.0, 516.0
28, 80.000000, 660.000000, 71.878834, 660.252766, 38.988871, 0.072535, 463, 316, 255.0, 39.0, 222.0, 516.0
29, 80.000000, 670.000000, 72.396579, 660.555074, 42.327092, 0.074910, 463, 317, 256.0, 39.0, 225.0, 520.0
