#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 80.000000, 670.000000, 68.067966, 665.853956, 38.765513, 0.108889, 433, 165, 255.0, 22.0, 120.0, 397.0
1, 80.000000, 670.000000, 71.653452, 660.742522, 45.092872, 0.103711, 433, 162, 255.0, 22.0, 119.0, 396.0
2, 80.000000, 670.000000, 75.252880, 660.847798, 36.905602, 0.044709, 432, 161, 255.0, 22.0, 120.0, 397.0
3, 80.000000, 670.000000, 71.341187, 660.527862, 38.394969, 0.080174, 433, 161, 335.0, 35.0, 183.0, 553.0
4, 80.000000, 670.000000, 71.592714, 662.619511, 38.965576, 0.107716, 433, 162, 256.0, 22.0, 161.0, 439.0
5, 80.000000, 660.000000, 75.759176, 660.686904, 29.020738, 0.035367, 432, 162, 255.0, 22.0, 119.0, 396.0
6, 80.000000, 670.000000, 70.365313, 661.623418, 44.210243, 0.085808, 432, 164, 255.0, 21.0, 120.0, 396.0
7, 80.000000, 670.000000, 74.333388, 660.207025, 44.480925, 0.081459, 433, 162, 255.0, 22.0, 120.0, 397.0
8, 80.000000, 670.000000, 69.152570, 661.899085, 43.079927, 0.136944, 433, 162, 256.0, 22.0, 119.0, 397.0
9, 80.000000, 670.000000, 70.957536, 661.444871, 40.409437, 0.070717, 433, 164, 255.0, 22.0, 120.0, 397.0
10, 80.000000, 660.000000, 73.561981, 659.753393, 39.279181, 0.087032, 433, 164, 255.0, 22.0, 121.0, 398.0
11, 80.000000, 670.000000, 77.589634, 660.669591, 32.543649, 0.083303, 433, 162, 254.0, 22.0, 119.0, 395.0
12, 80.000000, 660.000000, 74.767541, 660.226757, 36.596232, 0.062939, 432, 163, 255.0, 21.0, 119.0, 395.0
13, 80.000000, 660.000000, 77.737770, 659.480122, 30.364722, 0.053477, 433, 161, 255.0, 23.0, 119.0, 397.0
14, 80.000000, 660.000000, 74.704213, 660.147108, 38.197725, 0.051940, 433, 160, 256.0, 23.0, 118.0, 397.0
15, 80.000000, 660.000000, 72.539919, 660.586260, 37.200040, 0.044998, 432, 162, 264.0, 22.0, 118.0, 404.0
16, 80.000000, 660.000000, 74.793198, 661.143707, 32.341346, 0.045845, 432, 162, 255.0, 21.0, 120.0, 396.0
17, 80.000000, 670.000000, 77.140686, 659.432300, 31.426213, 0.048537, 433, 163, 276.0, 23.0, 121.0, 420.0
18, 80.000000, 660.000000, 74.352277, 659.263450, 36.127423, 0.035185, 433, 162, 309.0, 22.0, 120.0, 451.0
19, 80.000000, 670.000000, 76.513401, 660.669173, 34.357845, 0.089288, 432, 163, 255.0, 21.0, 122.0, 398.0
20, 80.000000, 660.000000, 75.966036, 659.635629, 34.477526, 0.074949, 432, 161, 255.0, 22.0, 118.0, 395.0
21, 80.000000, 660.000000, 74.264071, 661.129907, 33.703201, 0.071888, 433, 164, 254.0, 22.0, 122.0, 398.0
22, 80.000000, 670.000000, 69.780646, 661.833776, 39.203214, 0.103174, 433, 164, 255.0, 22.0, 120.0, 397.0
23, 80.000000, 670.000000, 71.951678, 659.947412, 40.270092, 0.067798, 433, 162, 255.0, 22.0, 119.0, 396.0
24, 80.000000, 670.000000, 70.617087, 662.317800, 41.440017, 0.086052, 433, 161, 255.0, 22.0, 118.0, 395.0
25, 80.000000, 660.000000, 73.560903, 659.505695, 37.971561, 0.060945, 432, 164, 275.0, 22.0, 121.0, 418.0
26, 70.000000, 680.000000, 70.394789, 660.148427, 42.384384, 0.195258, 433, 161, 255.0, 22.0, 156.0, 433.0
27, 70.000000, 680.000000, 67.000450, 661.388672, 45.458382, 0.149137, 432, 162, 303.0, 23.0, 120.0, 446.0
28, 80.000000, 660.000000, 71.417378, 660.241203, 39.927637, 0.073110, 432, 161, 262.0, 22.0, 118.0, 402.0
29, 80.000000, 670.000000, 72.095937, 661.065399, 41.950611, 0.075602, 433, 163, 256.0, 21.0, 121.0, 398.0
30, 80.000000, 670.000000, 72.336842, 660.356756, 38.121127, 0.062930, 433, 163, 255.0, 22.0, 118.0, 395.0
31, 70.000000, 680.000000, 69.009445, 661.133787, 43.661031, 0.138370, 432, 162, 272.0, 21.0, 119.0, 412.0
32, 80.000000, 660.000000, 78.333091, 659.027387, 31.644170, 0.057675, 432, 162, 256.0, 22.0, 120.0, 398.0
33, 80.000000, 660.000000, 76.052553, 658.420087, 35.742004, 0.045963, 432, 162, 255.0, 21.0, 118.0, 394.0
34, 80.000000, 670.000000, 72.310514, 660.091397, 43.803621, 0.069689, 433, 160, 254.0, 22.0, 118.0, 394.0
35, 80.000000, 670.000000, 71.039360, 662.993788, 38.194646, 0.041790, 432, 161, 254.0, 21.0, 119.0, 394.0
36, 70.000000, 680.000000, 67.621570, 659.148699, 49.497590, 0.176241, 433, 161, 306.0, 23.0, 119.0, 448.0
37, 70.000000, 660.000000, 72.575830, 659.792241, 40.962751, 0.037493, 433, 163, 256.0, 22.0, 119.0, 397.0
38, 70.000000, 660.000000, 70.173951, 658.927061, 48.443936, 0.061882, 432, 162, 255.0, 21.0, 120.0, 396.0
39, 70.000000, 670.000000, 72.587980, 660.228152, 35.693164, 0.066031, 433, 162, 292.0, 34.0, 195.0, 521.0
40, 70.000000, 670.000000, 68.661813, 662.139323, 42.157545, 0.074085, 433, 164, 255.0, 22.0, 120.0, 397.0
41, 80.000000, 670.000000, 71.047153, 662.881708, 38.329712, 0.072011, 433, 163, 256.0, 23.0, 120.0, 399.0
42, 80.000000, 670.000000, 70.422741, 663.569928, 33.899609, 0.102704, 433, 161, 281.0, 22.0, 117.0, 420.0
43, 80.000000, 670.000000, 72.088651, 661.385495, 43.913105, 0.072525, 432, 163, 255.0, 21.0, 120.0, 396.0
44, 80.000000, 670.000000, 70.877517, 662.202247, 40.106433, 0.075829, 433, 163, 271.0, 23.0, 120.0, 414.0
45, 80.000000, 670.000000, 70.755080, 661.839904, 38.307609, 0.041667, 432, 163, 316.0, 27.0, 124.0, 467.0
46, 80.000000, 670.000000, 70.548156, 661.148006, 42.945967, 0.145889, 433, 161, 255.0, 22.0, 118.0, 395.0
47, 80.000000, 670.000000, 76.380630, 660.271438, 33.966009, 0.078828, 432, 161, 255.0, 21.0, 119.0, 395.0
48, 80.000000, 670.000000, 71.294443, 661.855180, 41.893312, 0.053355, 432, 160, 255.0, 22.0, 118.0, 395.0
49, 80.000000, 670.000000, 76.624484, 657.733762, 31.334839, 0.025761, 432, 162, 256.0, 22.0, 119.0, 397.0
50, 70.000000, 670.000000, 67.894999, 662.104096, 41.851927, 0.165008, 433, 163, 257.0, 22.0, 120.0, 399.0
51, 70.000000, 660.000000, 70.307850, 659.504605, 43.617149, 0.139926, 432, 163, 256.0, 22.0, 120.0, 398.0
52, 80.000000, 670.000000, 68.854349, 663.178331, 37.432631, 0.062096, 432, 163, 263.0, 22.0, 119.0, 404.0
53, 80.000000, 660.000000, 72.497506, 660.650489, 37.024637, 0.048194, 432, 163, 255.0, 22.0, 120.0, 397.0
54, 80.000000, 660.000000, 74.495774, 659.938592, 31.731908, 0.043018, 433, 162, 254.0, 23.0, 119.0, 396.0
55, 70.000000, 660.000000, 69.766025, 660.141123, 44.858776, 0.076783, 432, 164, 254.0, 21.0, 121.0, 396.0
56, 80.000000, 670.000000, 69.649932, 662.850474, 43.043781, 0.077794, 432, 165, 255.0, 22.0, 119.0, 396.0
57, 70.000000, 670.000000, 67.263831, 659.044841, 46.021479, 0.221874, 432, 162, 262.0, 21.0, 135.0, 418.0
58, 80.000000, 670.000000, 70.771799, 661.001161, 45.141036, 0.122746, 432, 163, 394.0, 33.0, 186.0, 613.0
59, 80.000000, 660.000000, 73.477633, 659.829909, 35.656645, 0.038219, 432, 161, 255.0, 22.0, 119.0, 396.0
60, 80.000000, 660.000000, 73.481845, 660.466131, 38.011658, 0.061795, 433, 163, 271.0, 23.0, 121.0, 415.0
61, 80.000000, 660.000000, 74.059415, 661.160268, 33.045411, 0.036822, 433, 161, 255.0, 22.0, 119.0, 396.0
62, 70.000000, 670.000000, 68.646434, 662.223991, 36.505143, 0.066775, 433, 161, 254.0, 22.0, 118.0, 394.0
63, 80.000000, 660.000000, 78.119793, 659.373193, 28.652200, 0.073818, 432, 162, 388.0, 34.0, 167.0, 589.0
64, 80.000000, 660.000000, 72.442824, 659.407676, 44.397989, 0.142036, 432, 163, 256.0, 21.0, 120.0, 397.0
65, 70.000000, 660.000000, 70.606225, 659.048346, 38.445406, 0.070488, 432, 165, 255.0, 21.0, 121.0, 397.0
66, 70.000000, 660.000000, 68.738814, 660.393549, 43.641351, 0.078057, 432, 163, 255.0, 22.0, 120.0, 397.0
67, 80.000000, 660.000000, 73.759764, 660.182011, 35.401626, 0.025376, 433, 160, 255.0, 23.0, 119.0, 397.0
68, 70.000000, 660.000000, 68.762703, 659.970740, 45.905559, 0.070415, 433, 162, 256.0, 23.0, 125.0, 404.0
69, 70.000000, 680.000000, 68.719237, 661.770341, 42.917246, 0.084103, 433, 161, 255.0, 22.0, 119.0, 396.0
70, 70.000000, 660.000000, 67.690358, 659.743056, 44.072515, 0.109389, 433, 162, 263.0, 22.0, 119.0, 404.0
71, 80.000000, 660.000000, 73.223110, 659.661935, 41.738101, 0.062427, 433, 163, 255.0, 23.0, 120.0, 398.0
72, 80.000000, 670.000000, 70.467936, 663.283887, 38.359266, 0.084192, 433, 165, 255.0, 22.0, 120.0, 397.0
73, 70.000000, 660.000000, 69.525629, 660.570090, 44.349533, 0.043348, 432, 161, 255.0, 21.0, 131.0, 407.0
74, 80.000000, 670.000000, 69.176319, 662.783554, 38.631858, 0.066566, 432, 162, 254.0, 22.0, 118.0, 394.0
75, 80.000000, 660.000000, 72.105256, 660.953010, 37.377736, 0.032473, 432, 161, 254.0, 22.0, 116.0, 392.0
76, 80.000000, 670.000000, 67.938016, 664.615227, 35.091438, 0.095318, 433, 163, 334.0, 23.0, 119.0, 476.0
77, 70.000000, 680.000000, 65.979600, 663.074956, 42.759024, 0.116479, 432, 162, 255.0, 23.0, 119.0, 397.0
