#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 70.000000, 680.000000, 70.889463, 664.608848, 36.553087, 176.502723, 459, 290, 52056.0, 7684.0, 43093.0, 102833.0
1, 70.000000, 680.000000, 72.568783, 663.824624, 37.373064, 205.226436, 459, 289, 52187.0, 7732.0, 42899.0, 102818.0
2, 70.000000, 680.000000, 72.118211, 663.113244, 37.356041, 199.537179, 459, 290, 52853.0, 7681.0, 43100.0, 103634.0
3, 70.000000, 680.000000, 70.090730, 663.661184, 36.972698, 204.711785, 458, 291, 52356.0, 7622.0, 43239.0, 103217.0
4, 70.000000, 680.000000, 72.113096, 663.979522, 36.276576, 219.504344, 459, 292, 52321.0, 7749.0, 43077.0, 103147.0
5, 70.000000, 680.000000, 70.839553, 663.306462, 37.013512, 210.122912, 458, 291, 52088.0, 7625.0, 43126.0, 102839.0
6, 70.000000, 680.000000, 71.869200, 663.049306, 38.365781, 197.756433, 458, 289, 52576.0, 7586.0, 42865.0, 103027.0
7, 70.000000, 680.000000, 73.450552, 662.508473, 37.278189, 210.592151, 458, 288, 52004.0, 7599.0, 42796.0, 102399.0
8, 70.000000, 680.000000, 72.142523, 664.916343, 36.891002, 204.648700, 459, 290, 52144.0, 7818.0, 42963.0, 102925.0
9, 70.000000, 680.000000, 72.364286, 663.813097, 36.823505, 220.310148, 458, 293, 51906.0, 7677.0, 43254.0, 102837.0
10, 70.000000, 680.000000, 75.480703, 663.824450, 37.047932, 232.469241, 459, 290, 52201.0, 7757.0, 43036.0, 102994.0
11, 70.000000, 680.000000, 72.125290, 664.193433, 36.232192, 197.739309, 459, 288, 52166.0, 7750.0, 42542.0, 102458.0
12, 70.000000, 680.000000, 71.589360, 662.908628, 38.455891, 185.663241, 458, 294, 52163.0, 7672.0, 43635.0, 103470.0
13, 70.000000, 680.000000, 72.331905, 664.716854, 37.037242, 234.379133, 458, 294, 52206.0, 7648.0, 43633.0, 103487.0
14, 70.000000, 680.000000, 71.929455, 662.561661, 37.342073, 214.392132, 459, 293, 65995.0, 7804.0, 43681.0, 117480.0
15, 70.000000, 680.000000, 70.131827, 664.475517, 37.133124, 177.201605, 459, 288, 51804.0, 7755.0, 42630.0, 102189.0
