#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 70.000000, 680.000000, 70.822946, 664.624301, 36.564832, 176.498832, 491, 456, 52101.0, 11916.0, 67274.0, 131291.0
1, 70.000000, 680.000000, 72.544013, 663.680356, 37.439437, 205.218080, 492, 456, 52109.0, 12151.0, 67277.0, 131537.0
2, 70.000000, 680.000000, 72.100145, 663.047874, 37.313177, 199.533507, 492, 452, 52019.0, 11970.0, 66806.0, 130795.0
3, 70.000000, 680.000000, 70.132612, 663.636682, 37.103626, 204.704707, 492, 452, 52274.0, 12103.0, 66536.0, 130913.0
4, 70.000000, 680.000000, 72.163982, 663.913196, 36.208664, 219.500643, 491, 455, 52298.0, 11977.0, 67059.0, 131334.0
5, 70.000000, 680.000000, 70.765649, 663.274253, 36.909901, 210.111714, 491, 452, 52548.0, 11932.0, 66766.0, 131246.0
6, 70.000000, 680.000000, 71.890671, 663.174466, 38.391569, 197.746149, 492, 453, 52135.0, 11964.0, 67068.0, 131167.0
7, 70.000000, 680.000000, 73.385158, 662.435489, 37.276320, 210.582686, 492, 454, 52154.0, 12008.0, 67153.0, 131315.0
8, 70.000000, 680.000000, 72.105459, 664.876033, 36.950820, 204.645187, 492, 455, 52541.0, 12113.0, 67483.0, 132137.0
9, 70.000000, 680.000000, 72.427637, 663.792051, 36.853681, 220.305984, 491, 456, 52371.0, 11965.0, 67133.0, 131469.0
10, 70.000000, 680.000000, 75.430966, 663.827002, 37.035279, 232.466710, 492, 453, 52487.0, 12096.0, 67034.0, 131617.0
11, 70.000000, 680.000000, 72.171259, 664.062661, 36.322799, 197.734433, 491, 454, 52503.0, 12244.0, 67024.0, 131771.0
12, 70.000000, 680.000000, 71.530662, 662.988824, 38.428186, 185.659549, 491, 457, 52437.0, 11985.0, 67929.0, 132351.0
13, 70.000000, 680.000000, 72.314587, 664.674848, 36.935493, 234.373887, 492, 457, 52387.0, 12003.0, 67564.0, 131954.0
14, 70.000000, 680.000000, 71.919353, 662.521277, 37.242345, 214.388186, 491, 455, 52246.0, 11927.0, 67498.0, 131671.0
15, 70.000000, 680.000000, 70.173212, 664.542364, 37.140658, 177.195943, 491, 455, 52037.0, 11978.0, 67210.0, 131225.0
16, 70.000000, 680.000000, 70.116523, 663.269757, 37.836571, 175.921486, 491, 455, 52234.0, 11935.0, 67235.0, 131404.0
17, 70.000000, 680.000000, 71.465007, 664.932742, 35.666845, 194.872236, 492, 453, 52064.0, 12155.0, 66764.0, 130983.0
18, 70.000000, 680.000000, 68.601969, 663.056273, 37.209764, 204.664872, 491, 452, 52332.0, 12030.0, 66545.0, 130907.0
19, 70.000000, 680.000000, 74.258219, 663.614197, 37.243856, 231.853144, 492, 456, 52256.0, 12021.0, 67195.0, 131472.0
20, 70.000000, 680.000000, 72.847939, 663.197966, 38.035354, 205.510303, 491, 454, 52035.0, 11903.0, 67597.0, 131535.0
21, 70.000000, 680.000000, 72.325904, 663.828342, 37.234219, 185.879214, 491, 454, 51868.0, 11873.0, 67410.0, 131151.0
