#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 70.000000, 680.000000, 70.800642, 664.633705, 36.612305, 176.499982, 464, 320, 52078.0, 8405.0, 50061.0, 110544.0
1, 70.000000, 680.000000, 72.534050, 663.597622, 37.493580, 205.221505, 464, 321, 52043.0, 8354.0, 47627.0, 108024.0
2, 70.000000, 680.000000, 72.067380, 663.081044, 37.356901, 199.535392, 464, 320, 51972.0, 8290.0, 47332.0, 107594.0
3, 70.000000, 680.000000, 70.144975, 663.677578, 37.099074, 204.705506, 465, 319, 52355.0, 8504.0, 47385.0, 108244.0
4, 70.000000, 680.000000, 72.205804, 663.910095, 36.170992, 219.502762, 464, 322, 52088.0, 8432.0, 47492.0, 108012.0
5, 70.000000, 680.000000, 70.741188, 663.299153, 36.844436, 210.113767, 464, 319, 52154.0, 8365.0, 47325.0, 107844.0
6, 70.000000, 680.000000, 71.922120, 663.189833, 38.416548, 197.748002, 464, 318, 51941.0, 8354.0, 47107.0, 107402.0
7, 70.000000, 680.000000, 73.423552, 662.470949, 37.263852, 210.585654, 464, 320, 51797.0, 8381.0, 47328.0, 107506.0
8, 70.000000, 680.000000, 72.116298, 664.839814, 37.034867, 204.646946, 464, 321, 52042.0, 8447.0, 47493.0, 107982.0
9, 70.000000, 680.000000, 72.478836, 663.797257, 36.866592, 220.308781, 464, 323, 52156.0, 8424.0, 47623.0, 108203.0
10, 70.000000, 680.000000, 75.445273, 663.869182, 37.044700, 232.467793, 465, 321, 52178.0, 8459.0, 47496.0, 108133.0
11, 70.000000, 680.000000, 72.120412, 664.101963, 36.351408, 197.736522, 465, 318, 52047.0, 8698.0, 47000.0, 107745.0
12, 70.000000, 680.000000, 71.497532, 663.041432, 38.416901, 185.661031, 464, 322, 52036.0, 8403.0, 47946.0, 108385.0
13, 70.000000, 680.000000, 72.328803, 664.608122, 36.943523, 234.375259, 464, 323, 52035.0, 8499.0, 47682.0, 108216.0
14, 70.000000, 680.000000, 71.950678, 662.448398, 37.232650, 214.390377, 465, 321, 52063.0, 8580.0, 47562.0, 108205.0
15, 70.000000, 680.000000, 70.186876, 664.605052, 37.098866, 177.198033, 465, 318, 55258.0, 8514.0, 60075.0, 123847.0
16, 70.000000, 680.000000, 70.110248, 663.324839, 37.705170, 175.925091, 464, 319, 51762.0, 8386.0, 46992.0, 107140.0
17, 70.000000, 680.000000, 71.468829, 664.933634, 35.569608, 194.873922, 464, 319, 51879.0, 8607.0, 47053.0, 107539.0
18, 70.000000, 680.000000, 68.535807, 663.150703, 37.275156, 204.671472, 464, 316, 52090.0, 8411.0, 46586.0, 107087.0
19, 70.000000, 680.000000, 74.196159, 663.640349, 37.304381, 231.856874, 465, 322, 52111.0, 8565.0, 47590.0, 108266.0
20, 70.000000, 680.000000, 72.878636, 663.254532, 38.052232, 205.513383, 465, 319, 51786.0, 8482.0, 47492.0, 107760.0
21, 70.000000, 680.000000, 72.301260, 663.860123, 37.275321, 185.880725, 465, 322, 52222.0, 8500.0, 48366.0, 109088.0
22, 70.000000, 680.000000, 69.101742, 663.837239, 36.775846, 186.320275, 465, 319, 52210.0, 8477.0, 47421.0, 108108.0
23, 70.000000, 680.000000, 73.402753, 661.579762, 38.294587, 218.635614, 464, 319, 52152.0, 8361.0, 47286.0, 107799.0
24, 70.000000, 680.000000, 72.235407, 663.181699, 37.060218, 217.097874, 464, 322, 52091.0, 8388.0, 47556.0, 108035.0
25, 70.000000, 680.000000, 70.774858, 663.854087, 38.594544, 197.013128, 464, 321, 51691.0, 8320.0, 47631.0, 107642.0
26, 70.000000, 680.000000, 74.623101, 664.177929, 36.743701, 223.057995, 465, 318, 52031.0, 8638.0, 46998.0, 107667.0
27, 70.000000, 680.000000, 70.735431, 664.463352, 36.750500, 185.371330, 464, 318, 51807.0, 8340.0, 46960.0, 107107.0
28, 70.000000, 680.000000, 71.347447, 662.511310, 37.792183, 187.088232, 464, 322, 51866.0, 8370.0, 47911.0, 108147.0
29, 70.000000, 680.000000, 72.239200, 664.265472, 36.551577, 198.763828, 465, 322, 51920.0, 8541.0, 47827.0, 108288.0
30, 70.000000, 680.000000, 69.965753, 663.773010, 37.474256, 176.274528, 464, 320, 51924.0, 8378.0, 47849.0, 108151.0
31, 70.000000, 680.000000, 69.969361, 663.175658, 37.940301, 200.086142, 464, 322, 52293.0, 8372.0, 47737.0, 108402.0
32, 70.000000, 680.000000, 70.015208, 663.550902, 37.884291, 183.186914, 465, 318, 52197.0, 8591.0, 47288.0, 108076.0
33, 70.000000, 680.000000, 70.900700, 662.251102, 38.343717, 176.793548, 464, 318, 52311.0, 8398.0, 47330.0, 108039.0
34, 70.000000, 680.000000, 70.084165, 662.411101, 37.678432, 182.212859, 464, 320, 55927.0, 8406.0, 48113.0, 112446.0
35, 70.000000, 680.000000, 73.747429, 662.923435, 37.346614, 212.697117, 464, 322, 52523.0, 8460.0, 47753.0, 108736.0
36, 70.000000, 680.000000, 71.825875, 662.939751, 38.425868, 192.003094, 465, 320, 52340.0, 8583.0, 47538.0, 108461.0
37, 70.000000, 680.000000, 68.966266, 662.214401, 37.432937, 179.373411, 464, 320, 51969.0, 8419.0, 47386.0, 107774.0
