#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 70.000000, 680.000000, 70.574336, 664.688104, 36.733459, 176.563390, 443, 215, 52106.0, 5628.0, 32006.0, 89740.0
1, 70.000000, 680.000000, 72.550110, 663.459819, 37.492839, 205.235539, 443, 216, 52405.0, 5782.0, 33111.0, 91298.0
2, 70.000000, 680.000000, 72.064811, 662.664304, 37.343211, 199.596869, 443, 214, 52045.0, 5599.0, 31843.0, 89487.0
3, 70.000000, 680.000000, 70.250061, 663.673888, 37.602865, 204.798121, 444, 213, 52524.0, 5800.0, 31761.0, 90085.0
4, 70.000000, 680.000000, 71.910178, 664.064180, 36.419000, 219.566060, 443, 215, 52264.0, 5659.0, 31982.0, 89905.0
5, 70.000000, 680.000000, 70.691765, 662.893906, 37.073442, 210.178137, 443, 214, 52417.0, 5651.0, 31830.0, 89898.0
6, 70.000000, 680.000000, 71.613984, 663.571631, 38.389863, 197.834921, 443, 213, 52035.0, 5601.0, 31942.0, 89578.0
7, 70.000000, 680.000000, 73.378208, 662.487657, 37.855510, 210.686072, 443, 215, 52148.0, 5623.0, 32084.0, 89855.0
8, 70.000000, 680.000000, 71.880582, 664.926599, 37.216821, 204.703506, 444, 216, 52223.0, 5860.0, 32198.0, 90281.0
9, 70.000000, 680.000000, 72.639261, 663.370162, 36.826310, 220.377111, 444, 216, 52294.0, 5793.0, 32081.0, 90168.0
10, 70.000000, 680.000000, 75.349926, 663.834283, 36.660892, 232.516082, 443, 213, 52272.0, 5744.0, 31773.0, 89789.0
11, 70.000000, 680.000000, 72.314719, 664.106796, 36.157986, 197.761702, 443, 214, 52367.0, 5791.0, 31871.0, 90029.0
12, 70.000000, 680.000000, 71.484869, 662.610270, 38.548430, 185.736047, 444, 217, 53202.0, 5814.0, 32356.0, 91372.0
13, 70.000000, 680.000000, 72.199796, 664.661519, 36.737845, 234.404643, 444, 216, 52689.0, 5812.0, 32263.0, 90764.0
14, 70.000000, 680.000000, 71.879994, 662.091591, 37.518635, 214.464057, 444, 214, 52073.0, 5809.0, 31805.0, 89687.0
15, 70.000000, 680.000000, 70.160000, 664.834154, 37.133355, 177.228958, 444, 216, 51927.0, 5801.0, 32176.0, 89904.0
16, 70.000000, 680.000000, 69.923522, 663.272219, 38.126402, 175.976694, 444, 214, 52191.0, 5794.0, 31821.0, 89806.0
