#idx, p0x0, p0x1, x0, x1, x2, y, f1_neval, f2_neval, p0_grid_runtime (us), f1_time (us), f2_time (us), total_time (us)
0, 70.000000, 680.000000, 70.574336, 664.688104, 36.733459, 176.563390, 443, 210, 52003.0, 5617.0, 33293.0, 90913.0
1, 70.000000, 680.000000, 72.550110, 663.459819, 37.492839, 205.235539, 443, 211, 52236.0, 5695.0, 31509.0, 89440.0
2, 70.000000, 680.000000, 72.064811, 662.664304, 37.343211, 199.596869, 443, 212, 52255.0, 7542.0, 34620.0, 94417.0
3, 70.000000, 680.000000, 70.250061, 663.673888, 37.602865, 204.798121, 442, 209, 56324.0, 5578.0, 31152.0, 93054.0
4, 70.000000, 680.000000, 71.910178, 664.064180, 36.419000, 219.566060, 443, 211, 52532.0, 5711.0, 34384.0, 92627.0
5, 70.000000, 680.000000, 70.691765, 662.893906, 37.073442, 210.178137, 443, 213, 54915.0, 6036.0, 31702.0, 92653.0
6, 70.000000, 680.000000, 71.613984, 663.571631, 38.389863, 197.834921, 443, 207, 55780.0, 5606.0, 30988.0, 92374.0
7, 70.000000, 680.000000, 73.505254, 662.913726, 37.106251, 210.689850, 442, 210, 54435.0, 5633.0, 31896.0, 91964.0
8, 70.000000, 680.000000, 71.865354, 664.933809, 37.216821, 204.709608, 442, 212, 54961.0, 7623.0, 31612.0, 94196.0
9, 70.000000, 680.000000, 72.662972, 663.726878, 37.238967, 220.403847, 442, 213, 56029.0, 5541.0, 31741.0, 93311.0
10, 70.000000, 680.000000, 75.573967, 663.904310, 37.272839, 232.519913, 443, 210, 54624.0, 5676.0, 31251.0, 91551.0
11, 70.000000, 680.000000, 72.314719, 664.106796, 36.157986, 197.761702, 443, 208, 55803.0, 5678.0, 32182.0, 93663.0
12, 70.000000, 680.000000, 71.212860, 663.172838, 38.511316, 185.746444, 442, 211, 55500.0, 5677.0, 31641.0, 92818.0
13, 70.000000, 680.000000, 72.010127, 665.048299, 37.098251, 234.470333, 442, 209, 57617.0, 5515.0, 33227.0, 96359.0
14, 70.000000, 680.000000, 71.879994, 662.091591, 37.518635, 214.464057, 442, 213, 52306.0, 5498.0, 34021.0, 91825.0
15, 70.000000, 680.000000, 70.161187, 664.823663, 37.133355, 177.226675, 442, 210, 62039.0, 5532.0, 31392.0, 98963.0
16, 70.000000, 680.000000, 70.369961, 663.042826, 38.196556, 176.011761, 442, 212, 52219.0, 5544.0, 31613.0, 89376.0
17, 70.000000, 680.000000, 71.574391, 665.247551, 35.472671, 194.937832, 443, 208, 52091.0, 5623.0, 30876.0, 88590.0
18, 70.000000, 680.000000, 68.148387, 663.376231, 37.480945, 204.874833, 443, 205, 52954.0, 5677.0, 30507.0, 89138.0
19, 70.000000, 680.000000, 74.089951, 663.586731, 37.743546, 231.935378, 443, 213, 53593.0, 5661.0, 31904.0, 91158.0
20, 70.000000, 680.000000, 72.777867, 663.221829, 38.740357, 205.634538, 443, 208, 52031.0, 5663.0, 38338.0, 96032.0
21, 70.000000, 680.000000, 72.384901, 663.372669, 37.680588, 185.955596, 442, 212, 51651.0, 5462.0, 31684.0, 88797.0
22, 70.000000, 680.000000, 68.976770, 664.014290, 36.457709, 186.378826, 443, 208, 54819.0, 5738.0, 32529.0, 93086.0
23, 70.000000, 680.000000, 73.768783, 661.762735, 38.322757, 218.757782, 442, 213, 51413.0, 5428.0, 31580.0, 88421.0
24, 70.000000, 680.000000, 72.344847, 663.459061, 36.977936, 217.145406, 442, 211, 52048.0, 6117.0, 33478.0, 91643.0
25, 70.000000, 680.000000, 70.691872, 663.627506, 38.562012, 197.046090, 442, 212, 51909.0, 7874.0, 31684.0, 91467.0
26, 70.000000, 680.000000, 74.704739, 663.959025, 36.339383, 223.111435, 442, 210, 55144.0, 5517.0, 31201.0, 91862.0
27, 70.000000, 680.000000, 70.593516, 664.456404, 36.975014, 185.416046, 443, 210, 51833.0, 5631.0, 31526.0, 88990.0
28, 70.000000, 680.000000, 71.601981, 662.698925, 37.479000, 187.179378, 442, 211, 51910.0, 5496.0, 36404.0, 93810.0
29, 70.000000, 680.000000, 72.322842, 664.866102, 36.577137, 198.933455, 443, 208, 53781.0, 5716.0, 31038.0, 90535.0
30, 70.000000, 680.000000, 70.163449, 663.802353, 37.209546, 176.350338, 443, 212, 53990.0, 5589.0, 31832.0, 91411.0
31, 70.000000, 680.000000, 69.826029, 663.383051, 37.538006, 200.152970, 443, 210, 52848.0, 5939.0, 31259.0, 90046.0
32, 70.000000, 680.000000, 69.912078, 663.267560, 37.899678, 183.230705, 443, 209, 51768.0, 5586.0, 31011.0, 88365.0
33, 70.000000, 680.000000, 71.121181, 662.196314, 38.768989, 176.887648, 443, 209, 51931.0, 5726.0, 31211.0, 88868.0
34, 70.000000, 680.000000, 70.024676, 662.103909, 37.742518, 182.278031, 442, 211, 51856.0, 5493.0, 31455.0, 88804.0
35, 70.000000, 680.000000, 73.657801, 662.857206, 37.054611, 212.751754, 443, 210, 51969.0, 5617.0, 33243.0, 90829.0
36, 70.000000, 680.000000, 71.993468, 662.820545, 38.899657, 192.110196, 442, 208, 53958.0, 5487.0, 31042.0, 90487.0
37, 70.000000, 680.000000, 68.998891, 662.415984, 37.571247, 179.421889, 443, 209, 53775.0, 5650.0, 32514.0, 91939.0
38, 70.000000, 680.000000, 70.604233, 663.972073, 36.192253, 203.724001, 443, 210, 51902.0, 5589.0, 31573.0, 89064.0
39, 70.000000, 680.000000, 68.383563, 662.452535, 37.657795, 166.849380, 443, 211, 51561.0, 5660.0, 31282.0, 88503.0
40, 70.000000, 680.000000, 71.823942, 663.440068, 37.675604, 191.254344, 442, 213, 51837.0, 5478.0, 31687.0, 89002.0
41, 70.000000, 680.000000, 71.404797, 664.194782, 36.847164, 181.548273, 442, 209, 54056.0, 5582.0, 34618.0, 94256.0
42, 70.000000, 680.000000, 68.335920, 662.810995, 38.102851, 185.790857, 443, 211, 52788.0, 7104.0, 31477.0, 91369.0
43, 70.000000, 680.000000, 72.523558, 663.412421, 37.598556, 206.832982, 442, 211, 55141.0, 5474.0, 31541.0, 92156.0
44, 70.000000, 680.000000, 71.496306, 662.927906, 39.363149, 169.604273, 443, 210, 51885.0, 5650.0, 31412.0, 88947.0
45, 70.000000, 680.000000, 69.115311, 662.923749, 39.364526, 191.041496, 443, 212, 56642.0, 6261.0, 33569.0, 96472.0
46, 70.000000, 680.000000, 69.993249, 664.590107, 35.985576, 198.452034, 442, 207, 52125.0, 5505.0, 30904.0, 88534.0
47, 70.000000, 680.000000, 71.321337, 664.281048, 36.562753, 193.544235, 442, 211, 52187.0, 5554.0, 31378.0, 89119.0
48, 70.000000, 680.000000, 69.707557, 662.527279, 37.736086, 187.435169, 442, 210, 52525.0, 5604.0, 31694.0, 89823.0
49, 70.000000, 680.000000, 71.673381, 663.769437, 36.524434, 186.543228, 442, 209, 56238.0, 5603.0, 31004.0, 92845.0
50, 70.000000, 680.000000, 72.553443, 663.670802, 35.931463, 183.371059, 443, 210, 58835.0, 5607.0, 31687.0, 96129.0
51, 70.000000, 680.000000, 73.149313, 664.125636, 37.327627, 199.220606, 443, 210, 55188.0, 6193.0, 32524.0, 93905.0
52, 70.000000, 670.000000, 66.321167, 664.108261, 36.190941, 165.063888, 443, 212, 52298.0, 5671.0, 32314.0, 90283.0
53, 70.000000, 680.000000, 70.585043, 663.792467, 36.997850, 222.219729, 442, 210, 52346.0, 5541.0, 31426.0, 89313.0
54, 70.000000, 680.000000, 71.138790, 662.909541, 38.424161, 203.344999, 443, 211, 52105.0, 6620.0, 31990.0, 90715.0
55, 70.000000, 680.000000, 68.812152, 663.774455, 37.949506, 168.835523, 442, 213, 52213.0, 5514.0, 31796.0, 89523.0
56, 70.000000, 680.000000, 71.301958, 664.107321, 37.627912, 192.481961, 442, 210, 55469.0, 5554.0, 34004.0, 95027.0
57, 70.000000, 670.000000, 68.026655, 662.848066, 37.295161, 173.392117, 442, 207, 51499.0, 5444.0, 30573.0, 87516.0
58, 70.000000, 680.000000, 70.350610, 663.194414, 38.068671, 186.965889, 443, 208, 51983.0, 5624.0, 30846.0, 88453.0
59, 70.000000, 670.000000, 69.121557, 663.175067, 37.914577, 174.151104, 443, 215, 52015.0, 5633.0, 32117.0, 89765.0
60, 70.000000, 680.000000, 71.652260, 664.402140, 37.404741, 190.302308, 442, 210, 57995.0, 5499.0, 35076.0, 98570.0
61, 70.000000, 670.000000, 68.758070, 663.513797, 37.844192, 153.745185, 443, 212, 52127.0, 5670.0, 31436.0, 89233.0
62, 70.000000, 670.000000, 68.935131, 662.329806, 37.644959, 162.908575, 442, 211, 51859.0, 6818.0, 33079.0, 91756.0
63, 70.000000, 680.000000, 68.339481, 663.721093, 36.581255, 179.899611, 443, 208, 52183.0, 5685.0, 30922.0, 88790.0
64, 70.000000, 680.000000, 70.482247, 664.647617, 36.848463, 189.393919, 442, 210, 55456.0, 5661.0, 33659.0, 94776.0
65, 70.000000, 670.000000, 67.486827, 663.212360, 36.852616, 180.949788, 443, 211, 55475.0, 5629.0, 32750.0, 93854.0
66, 70.000000, 670.000000, 68.352630, 662.628234, 37.632505, 171.289435, 442, 211, 54826.0, 5520.0, 35753.0, 96099.0
67, 70.000000, 680.000000, 72.644026, 663.512041, 36.829920, 214.170402, 442, 210, 56336.0, 5571.0, 34530.0, 96437.0
68, 70.000000, 660.000000, 66.735285, 662.119695, 37.863042, 183.665910, 443, 213, 53295.0, 5634.0, 34647.0, 93576.0
69, 70.000000, 680.000000, 69.438045, 663.179674, 38.051806, 207.654627, 442, 209, 56776.0, 5534.0, 31383.0, 93693.0
70, 70.000000, 680.000000, 68.486533, 663.684427, 36.702353, 165.669590, 443, 211, 53299.0, 5686.0, 31806.0, 90791.0
71, 70.000000, 680.000000, 69.804300, 664.687296, 36.952713, 191.943555, 443, 210, 53557.0, 5770.0, 31466.0, 90793.0
72, 70.000000, 680.000000, 71.216225, 663.580405, 37.044891, 199.985236, 442, 208, 54302.0, 5532.0, 32418.0, 92252.0
73, 70.000000, 660.000000, 65.145722, 662.818215, 37.750668, 183.165926, 443, 214, 55372.0, 7398.0, 33555.0, 96325.0
74, 70.000000, 680.000000, 69.484316, 663.973055, 37.039285, 175.228911, 442, 207, 52542.0, 5566.0, 30860.0, 88968.0
75, 70.000000, 680.000000, 69.263636, 663.106619, 38.380663, 185.722251, 443, 207, 52521.0, 5771.0, 31074.0, 89366.0
76, 70.000000, 680.000000, 67.289930, 663.579307, 36.318125, 185.328102, 442, 211, 52200.0, 5504.0, 31532.0, 89236.0
77, 70.000000, 660.000000, 67.434393, 662.682907, 37.677862, 163.681506, 443, 212, 52161.0, 5720.0, 31604.0, 89485.0
78, 70.000000, 680.000000, 70.211507, 662.954498, 36.980101, 181.180919, 442, 209, 53659.0, 5545.0, 31602.0, 90806.0
79, 70.000000, 680.000000, 70.612269, 662.741079, 38.674129, 204.230634, 443, 210, 56061.0, 5692.0, 32630.0, 94383.0
80, 70.000000, 680.000000, 67.818791, 663.460532, 37.250236, 168.341424, 442, 216, 56264.0, 5538.0, 32373.0, 94175.0
81, 70.000000, 680.000000, 68.347388, 663.324379, 38.078039, 161.792759, 442, 206, 52458.0, 5713.0, 34319.0, 92490.0
82, 70.000000, 670.000000, 68.821443, 663.620474, 36.226820, 159.457411, 442, 210, 54778.0, 5955.0, 32667.0, 93400.0
83, 70.000000, 680.000000, 71.551093, 664.126063, 35.954616, 190.087063, 443, 211, 55147.0, 5652.0, 31544.0, 92343.0
84, 70.000000, 680.000000, 67.942857, 662.121560, 37.734765, 178.000444, 443, 210, 52028.0, 5696.0, 32990.0, 90714.0
85, 70.000000, 680.000000, 70.263498, 665.042125, 36.728637, 204.583487, 443, 210, 56409.0, 5698.0, 31138.0, 93245.0
86, 70.000000, 680.000000, 68.141748, 663.458453, 37.432876, 173.695397, 442, 211, 52370.0, 5509.0, 31437.0, 89316.0
87, 70.000000, 680.000000, 67.884843, 663.079005, 36.546496, 170.724956, 443, 211, 51856.0, 5668.0, 31446.0, 88970.0
88, 70.000000, 680.000000, 67.070226, 663.193358, 36.975014, 174.080564, 443, 209, 57983.0, 5757.0, 30985.0, 94725.0
89, 70.000000, 680.000000, 68.681191, 664.956815, 35.880704, 156.814208, 443, 211, 52102.0, 5717.0, 31551.0, 89370.0
90, 70.000000, 680.000000, 71.783489, 664.024513, 36.160286, 214.613927, 443, 210, 52348.0, 5675.0, 31222.0, 89245.0
91, 70.000000, 680.000000, 68.267962, 661.596224, 38.410856, 176.592644, 442, 211, 53239.0, 5489.0, 32388.0, 91116.0
92, 70.000000, 680.000000, 67.708630, 661.493020, 38.063562, 187.218397, 442, 210, 51758.0, 5780.0, 32507.0, 90045.0
93, 70.000000, 680.000000, 67.682207, 662.768306, 37.624615, 193.674879, 443, 209, 52345.0, 6238.0, 41633.0, 100216.0
94, 70.000000, 680.000000, 69.911419, 664.204020, 36.831717, 171.963380, 443, 209, 52262.0, 5663.0, 31148.0, 89073.0
95, 70.000000, 680.000000, 69.235511, 662.924065, 38.582249, 166.766485, 443, 208, 52243.0, 5646.0, 31102.0, 88991.0
96, 70.000000, 680.000000, 68.563001, 664.761810, 35.488073, 172.399521, 442, 207, 51794.0, 5496.0, 30733.0, 88023.0
97, 70.000000, 680.000000, 69.622899, 664.183012, 36.513378, 175.224566, 442, 212, 52159.0, 5583.0, 31897.0, 89639.0
98, 70.000000, 680.000000, 69.359012, 663.261946, 36.640250, 164.329034, 442, 209, 53951.0, 5547.0, 31357.0, 90855.0
99, 70.000000, 680.000000, 68.607349, 664.648543, 36.807850, 181.014643, 443, 210, 52418.0, 6639.0, 31976.0, 91033.0
100, 70.000000, 660.000000, 66.269477, 662.664946, 37.314897, 170.243648, 442, 212, 54961.0, 6214.0, 31704.0, 92879.0
101, 70.000000, 680.000000, 70.012599, 662.992983, 36.613335, 202.674393, 443, 212, 53332.0, 7151.0, 32588.0, 93071.0
102, 70.000000, 680.000000, 67.636768, 662.004091, 38.547467, 162.285497, 442, 209, 52030.0, 5484.0, 31195.0, 88709.0
103, 70.000000, 680.000000, 68.573017, 662.488430, 39.057456, 174.039897, 442, 210, 52344.0, 5553.0, 34185.0, 92082.0
104, 70.000000, 680.000000, 69.770816, 664.979326, 35.494950, 180.978476, 442, 208, 53542.0, 5577.0, 31017.0, 90136.0
105, 70.000000, 680.000000, 68.483585, 663.313949, 37.088511, 188.140045, 443, 211, 52439.0, 5632.0, 33110.0, 91181.0
106, 70.000000, 680.000000, 71.629786, 664.452442, 36.134687, 195.789400, 443, 207, 52307.0, 5743.0, 30796.0, 88846.0
107, 70.000000, 680.000000, 70.403749, 663.191251, 38.209583, 181.162864, 442, 210, 52518.0, 5661.0, 31481.0, 89660.0
108, 70.000000, 680.000000, 68.301088, 663.215193, 37.378791, 187.988812, 443, 209, 52195.0, 5844.0, 31163.0, 89202.0
109, 70.000000, 680.000000, 69.009268, 663.855546, 37.492584, 177.928210, 443, 210, 52299.0, 5642.0, 31513.0, 89454.0
110, 70.000000, 680.000000, 68.958281, 664.366082, 36.922560, 177.481763, 442, 209, 54462.0, 5512.0, 33681.0, 93655.0
111, 70.000000, 680.000000, 70.064851, 663.576351, 37.100606, 184.097227, 442, 210, 52154.0, 5511.0, 31417.0, 89082.0
112, 70.000000, 680.000000, 69.729014, 662.179997, 37.167794, 189.495249, 443, 210, 52053.0, 5635.0, 31402.0, 89090.0
113, 70.000000, 680.000000, 69.490725, 662.980269, 38.464227, 161.622203, 442, 211, 54668.0, 5516.0, 31597.0, 91781.0
114, 70.000000, 680.000000, 71.721518, 664.733040, 36.585713, 198.385909, 443, 211, 52211.0, 5632.0, 31732.0, 89575.0
115, 70.000000, 660.000000, 67.039732, 662.579637, 38.117418, 168.811275, 443, 213, 55909.0, 5681.0, 31920.0, 93510.0
116, 70.000000, 680.000000, 71.856112, 665.200035, 36.225493, 223.694773, 443, 211, 52038.0, 5669.0, 31279.0, 88986.0
117, 70.000000, 680.000000, 70.521033, 664.683900, 36.370594, 217.018598, 442, 210, 55044.0, 5905.0, 31275.0, 92224.0
118, 70.000000, 680.000000, 68.585629, 663.111179, 38.042931, 193.723300, 443, 210, 52634.0, 5723.0, 31719.0, 90076.0
119, 70.000000, 660.000000, 66.153043, 663.515258, 37.924081, 150.765499, 442, 211, 52714.0, 6873.0, 33626.0, 93213.0
120, 70.000000, 660.000000, 66.983535, 663.740069, 37.904733, 158.290804, 443, 214, 54654.0, 5648.0, 31988.0, 92290.0
